Sample_ID;Species;Location;Latitude;Longitude;
CC364_sorted;Dioclea_apurensis;Bocaina;-6.331698;-49.936473;
CC251_sorted;Dioclea_apurensis;S11C;-6.402572;-50.359081;
CC267_sorted;Dioclea_apurensis;S11C;-6.399522;-50.341853;
CC279_sorted;Dioclea_apurensis;N1;-6.009793;-50.292451;
CC287_sorted;Dioclea_apurensis;N1;-6.012113;-50.312548;
CC302_sorted;Dioclea_apurensis;Bocaina;-6.330576;-49.976230;
CC318_sorted;Dioclea_apurensis;Bocaina;-6.330944;-49.951741;
CC334_sorted;Dioclea_apurensis;Bocaina;-6.310477;-49.887648;
CC350_sorted;Dioclea_apurensis;Bocaina;-6.314533;-49.904780;
CC253_sorted;Dioclea_apurensis;S11C;-6.408121;-50.351885;
CC269_sorted;Dioclea_apurensis;S11C;-6.399852;-50.342997;
CC280_sorted;Dioclea_apurensis;N1;-6.017257;-50.302844;
CC288_sorted;Dioclea_apurensis;N1;-6.043137;-50.282767;
CC304_sorted;Dioclea_apurensis;Bocaina;-6.330542;-49.974752;
CC320_sorted;Dioclea_apurensis;Bocaina;-6.330972;-49.950424;
CC336_sorted;Dioclea_apurensis;Bocaina;-6.309672;-49.889900;
CC352_sorted;Dioclea_apurensis;Bocaina;-6.314864;-49.908945;
